Media_ID,Title,Region,Genre,Has_Updates,Status,Updates_Count,XML_Updates,Direct_Updates,Total_Size_MB,Update_Version,Update_URL,Update_SHA1,Update_Size_MB,Update_Filename,Update_Type
PCSA00004,Escape Plan,US,Miscellaneous » Puzzle,True,success,1,0,0,1448.1904754638672,01.04,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00004/PCSA00004_T3/b92cdfdb97fbd9c4/UP9000-PCSA00004_00-ESCPGAMEMASTERUS-A0104-V0100-1f2d79240c7e95736c49450d43f647ebbc83d7c5-PE.pkg,76F79CBF9E5A36E0428C9C967BD4FB584E01BC83,1448.1904754638672,UP9000-PCSA00004_00-ESCPGAMEMASTERUS-A0104-V0100-1f2d79240c7e95736c49450d43f647ebbc83d7c5-PE.pkg,XML Direct Link
PCSG00010,Shin Kamaitachi no Yoru: 11 Ninme no Suspect,JP,Adventure » General,True,success,1,0,0,1.6381988525390625,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00010/PCSG00010_T5/1f8de78093d12435/JP0365-PCSG00010_00-KPKRELEASE000000-A0101-V0103-63a3658932224437222c66d85e234aa14d3e7d9f-PE.pkg,120F7EF7A5D44E2ABD65240062CDA12E689DEEA0,1.6381988525390625,JP0365-PCSG00010_00-KPKRELEASE000000-A0101-V0103-63a3658932224437222c66d85e234aa14d3e7d9f-PE.pkg,XML Direct Link
PCSA00006,Super Stardust Delta,US,Action » Shooter,False,no_updates,0,0,0,0.0,,,,,,
PCSG00023,Jigoku no Gundan: Army Corps of Hell,JP,Strategy » Real-Time,True,success,1,0,0,1.8096466064453125,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSG00023/PCSG00023_T1/b8e4ff4003f047a9/JP0082-PCSG00023_00-ARMYCORPSOFHELLJ-A0101-V0100-1f0b02c5ec74220d773a467d7aca597123519516-PE.pkg,B831FE36FE6C5F6EE8C5B7DAF32FAF097D31E2F3,1.8096466064453125,JP0082-PCSG00023_00-ARMYCORPSOFHELLJ-A0101-V0100-1f0b02c5ec74220d773a467d7aca597123519516-PE.pkg,XML Direct Link
PCSA00007,Hustle Kings,US,Miscellaneous » Parlor,True,success,1,0,0,13.329849243164062,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSA00007/PCSA00007_T0/20f88cc6f7038ebf/UP9000-PCSA00007_00-UHUSTLEKIN000001-A0101-V0101-6272c40ef3e9bf4248f9c9b9c934e5120f95c238-PE.pkg,25E00E3CB5DDFB57BCDBAF53F283ECFB40EE136D,13.329849243164062,UP9000-PCSA00007_00-UHUSTLEKIN000001-A0101-V0101-6272c40ef3e9bf4248f9c9b9c934e5120f95c238-PE.pkg,XML Direct Link
PCSC00005,Uncharted: Chizu no Bouken no Hajimari,JP,Action Adventure,True,success,1,0,0,378.0176696777344,01.02,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSC00005/PCSC00005_T4/0a26fbe40bb882a6/JP9000-PCSC00005_00-0000000000000000-A0102-V0100-2e29d89d8e89f2546891933f4ef0b9b0316d882c-PE.pkg,B4752F8C1658B43D604144CE3BB115663E821230,378.0176696777344,JP9000-PCSC00005_00-0000000000000000-A0102-V0100-2e29d89d8e89f2546891933f4ef0b9b0316d882c-PE.pkg,XML Direct Link
PCSE00064,Plants vs. Zombies,US,Strategy » General,True,success,1,0,0,8.455657958984375,01.02,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSE00064/PCSE00064_T1/ebd738d02cc6d012/UP0017-PCSE00064_00-PLANTSVSZOMBIES0-A0102-V0100-38650969c6e815ee20a0314c4e2daeee01466b5c-PE.pkg,C838AF65764A4B0BA7EAA89AE747CCA6478F2443,8.455657958984375,UP0017-PCSE00064_00-PLANTSVSZOMBIES0-A0102-V0100-38650969c6e815ee20a0314c4e2daeee01466b5c-PE.pkg,XML Direct Link
PCSG00008,Lord of Apocalypse,JP,Role-Playing » Action RPG,False,no_updates,0,0,0,0.0,,,,,,
PCSE00034,Tales From Space: Mutant Blobs Attack,US,Action » Platformer » 2D,True,success,1,0,0,128.87081909179688,01.01,http://gs.ww.np.dl.playstation.net/ppkg/np/PCSE00034/PCSE00034_T0/34614ed26e4853d6/UP2045-PCSE00034_00-MUTANTBLOBSATK00-A0101-V0100-9ede358f2cda2c5abebe295fb6e9f13cff09ec89-PE.pkg,35014337447A1F7B2F15A371706E7447BC8BA0E0,128.87081909179688,UP2045-PCSE00034_00-MUTANTBLOBSATK00-A0101-V0100-9ede358f2cda2c5abebe295fb6e9f13cff09ec89-PE.pkg,XML Direct Link
PCSG00016,Michael Jackson The Experience HD,JP,Miscellaneous » Rhythm,False,no_updates,0,0,0,0.0,,,,,,
