ID,Title,Region,Media_ID,Box_ID,Genre,Released
0093,Disgaea 3: Absence of Detention,US,PCSE-00022,,Strategy » Turn-Based,2012-04-17
0093,Sine Mora,US,PCSE-00090,,Action » Shooter,2012-11-20
0094,Lumines: Electronic Symphony,JP,PCSG-00014,VLJS-00012,Miscellaneous » Puzzle,2012-04-19
0094,Chronovolt,EU,PCSB-00102,,Action » General,2012-11-21
0095,Disgaea 3: Absence of Detention,EU,PCSB-00098,,Strategy » Turn-Based,2012-04-20
0095,Jet Set Radio,EU,PCSB-00136,,Action » Platformer » 3D,2012-11-21
0096,Ciel nosurge: Ushinawareta Hoshi e Sasagu Uta,JP,PCSG-00046,VLJM-30019,Role-Playing » General,2012-04-26
0096,Sine Mora,EU,PCSB-00161,,Action » Shooter,2012-11-21
0097,NextRev: Eibunpou Tettei Tokkun,JP,PCSG-00052,VLJS-00013,Miscellaneous » Edutainment,2012-04-26
0097,Malicious Rebirth,JP,PCSG-00130,,Action » General,2012-11-22
0098,Mortal Kombat,US,PCSE-00023,,Action » Fighting » 3D,2012-05-01
0098,Aabs Animals,JP,PCSG-00138,,Miscellaneous » General,2012-11-29
0099,Mortal Kombat,EU,PCSB-00106,,Action » Fighting » 3D,2012-05-04
0099,Uncharted: Fight for Fortune,US,PCSA-00088,,Action Adventure,2012-12-04
0100,Uncharted: Golden Abyss,Unknown,PCSD-00001,VCAS-34001,Action Adventure,2011-12-23
0100,Uncharted: Fight for Fortune,EU,PCSF-00220,,Action Adventure,2012-12-05
0101,Samurai & Dragons,JP,PCSG-00041,VLJM-30018,Role-Playing » General,2012-05-24
0101,NAX Music Player,JP,PCSG-00030,,Miscellaneous » General,2012-12-05
0102,Resistance: Burning Skies,US,PCSA-00008,PCSA-22107,Action » Shooter » First-Person,2012-05-29
0102,Big Sky: Infinity,US,PCSE-00091,,Action » Shooter,2012-12-11
0103,NextRev: Gyouseishoshi Shiken,JP,PCSG-00056,VLJS-00014,Miscellaneous » Edutainment,2012-05-31
0103,Big Sky: Infinity,EU,PCSB-00168,,Action » Shooter,2012-12-12
0104,Resistance: Burning Skies,EU,PCSF-00003,,Action » Shooter » First-Person,2012-06-01
0104,Burn the Rope,US,PCSE-00117,,Miscellaneous » Puzzle,2012-12-18
0105,Hello Kitty to Issho! Block Crash V,JP,PCSG-00059,VLJM-30021,Action » General,2012-06-07
0105,Knytt Underground,US,PCSE-00092,,Action » Platformer » 2D,2012-12-18
0106,Kidou Senshi Gundam Seed: Battle Destiny,JP,PCSG-00040,VLJS-00011,Simulation » Sci-Fi,2012-06-07
0106,Oddworld: Stranger's Wrath HD,US,PCSE-00043,,Action Adventure,2012-12-18
0107,Gravity Rush,US,PCSA-00011,PCSA-22007,Action » Platformer » 3D,2012-06-12
0107,escapeVektor,EU,PCSB-00186,,Miscellaneous » Puzzle,2012-12-19
0108,Metal Gear Solid HD Collection,US,PCSE-00020,,Miscellaneous » Compilation,2012-06-12
0108,Flying Hamster HD,EU,PCSB-00240,,Action » Shooter » Third-Person,2012-12-19
0109,Persona 4: The Golden,JP,PCSG-00004,VLJM-35001,Role-Playing » Console-style RPG,2012-06-14
0109,Oddworld: Stranger's Wrath HD,EU,PCSB-00180,,Action Adventure,2012-12-19
0110,Super Monkey Ball: Tokumori AsoVita!,JP,PCSG-00032,VLJM-30015,Action » General,2012-06-14
0110,Hako! Open Me,JP,PCSC-00037,,Action » General,2012-12-20
0111,Gravity Rush,EU,PCSF-00024,,Action » Platformer » 3D,2012-06-15
0111,PhotoKano Kiss AR,JP,PCSG-00160,,Miscellaneous » General,2012-12-20
0112,LEGO Batman 2: DC Super Heroes,US,PCSE-00061,,Action Adventure,2012-06-19
0112,Tenshi Tsuki no Shoujo,JP,PCSG-00137,,Adventure » General,2012-12-20
0113,LEGO Batman 2: DC Super Heroes,EU,PCSB-00133,,Action Adventure,2012-06-22
0113,AKB1/149 Renai Sousenkyo Chou Gouka Daretoku BOX powered by HAKO ! -Open Me-,JP,PCSC-90022,,Action » General,2012-12-20
0114,NextRev: IT Passport Shiken,JP,PCSG-00073,VLJS-00019,Miscellaneous » Edutainment,2012-06-28
0114,Jetpack Joyride,EU,PCSB-00244,,Action » General,2012-12-21
0115,NextRev: Ouyou Jouhougijutsusha Shiken,JP,PCSG-00071,VLJS-00018,Miscellaneous » Edutainment,2012-06-28
0115,Jetpack Joyride,US,PCSE-00213,,Action » General,2012-12-31
0116,NextRev: Kihonjouhou Gijutsusha Shiken,JP,PCSG-00072,VLJS-00017,Miscellaneous » Edutainment,2012-06-28
0116,Chronovolt,US,PCSE-00044,,Action » General,2013-01-01
0117,Metal Gear Solid HD Edition,JP,PCSG-00035,VLJM-35005,Miscellaneous » Compilation,2012-06-28
0117,Earth Defense Force 2017 Portable,US,PCSE-00209,,Action » Shooter » Third-Person,2013-01-08
0118,Metal Gear Solid HD Edition,EU,PCSB-00118,,Miscellaneous » Compilation,2012-06-29
0118,Imaginstruments,EU,PCSF-00210,,Miscellaneous » Rhythm,2013-01-09
0119,Dokuro,JP,PCSG-00037,VLJS-00015,Action » Platformer » 2D,2012-07-05
0119,Earth Defense Force 2017 Portable,EU,PCSB-00239,,Action » Shooter » Third-Person,2013-01-16
0120,Jonah Lomu Rugby Challenge,EU,PCSB-00058,,Sports » Alternative,2012-07-06
0120,Orgarhythm,EU,PCSB-00241,,Miscellaneous » Rhythm,2013-01-16
0121,Resistance: America Saigo no Teikou,JP,PCSC-00017,VCJS-15003,Action » Shooter » First-Person,2012-07-12
0121,Retro City Rampage,EU,PCSB-00203,,Adventure » General,2013-01-16
